100000;Ana Melo;6.9;0
100001;Ana Silva;5.0;6
100002;Camila Araujo;3.3;28
100003;Pedro Santos;9.2;3
100004;Thiago Souza;1.1;9
100005;Bruno Araujo;5.4;11
100006;Bruno Costa;4.0;22
100007;Aline Martins;5.2;1
100008;Ana Melo;2.7;30
100009;Gustavo Pereira;3.9;5
100010;Lucas Rocha;9.3;7
100011;Camila Ribeiro;1.3;17
100012;Larissa Gomes;6.9;20
100013;Lucas Santos;2.4;11
100014;Rafael Pereira;4.7;25
100015;Felipe Barbosa;3.2;29
100016;Pedro Costa;7.9;5
100017;Aline Teixeira;2.7;11
100018;Mariana Teixeira;1.0;21
100019;Gustavo Costa;8.1;29
100020;Ana Rocha;2.5;11
100021;Daniel Dias;8.3;29
100022;Fernanda Dias;5.4;15
100023;Aline Ribeiro;5.5;13
100024;Bruno Melo;0.7;8
100025;Gustavo Melo;7.0;16
100026;Lucas Pereira;9.8;8
100027;Maria Ribeiro;5.6;4
100028;Bruno Gomes;6.8;24
100029;Bruno Melo;0.3;9
100030;Larissa Rocha;4.1;30
100031;Rafael Barbosa;5.0;3
100032;Beatriz Carvalho;1.8;26
100033;Lucas Gomes;1.5;5
100034;Ana Araujo;1.3;18
100035;Aline Gomes;8.6;6
100036;Gabriel Almeida;9.9;10
100037;Aline Barbosa;8.9;17
100038;Daniel Barbosa;8.1;29
100039;Camila Araujo;1.1;14
100040;Gustavo Rocha;9.2;12
100041;Beatriz Araujo;9.3;30
100042;Beatriz Gomes;6.6;24
100043;Gustavo Ferreira;4.2;28
100044;Patricia Lima;6.5;0
100045;Fernanda Oliveira;2.5;19
100046;Fernanda Martins;9.1;14
100047;Thiago Santos;6.3;13
100048;Felipe Carvalho;7.8;1
100049;Felipe Rodrigues;8.4;19
100050;Larissa Melo;9.9;11
100051;Maria Souza;7.3;15
100052;Gabriel Dias;9.7;10
100053;Maria Oliveira;6.9;20
100054;Camila Costa;6.1;22
100055;Fernanda Rodrigues;2.7;5
100056;Aline Lima;1.9;4
100057;Mariana Almeida;2.8;16
100058;Beatriz Silva;5.4;24
100059;Pedro Dias;5.3;22
100060;Daniel Ferreira;1.1;25
100061;Lucas Costa;3.7;15
100062;Patricia Oliveira;4.5;10
100063;Aline Oliveira;8.3;0
100064;Thiago Rocha;4.9;26
100065;Aline Ribeiro;8.5;30
100066;Felipe Ferreira;9.8;1
100067;Camila Dias;5.1;22
100068;Fernanda Dias;8.2;12
100069;Gabriel Ferreira;9.5;18
100070;Aline Carvalho;1.7;17
100071;Daniel Teixeira;6.8;7
100072;Pedro Gomes;0.8;10
100073;Beatriz Carvalho;8.2;10
100074;Camila Oliveira;2.2;24
100075;Julia Pereira;9.5;2
100076;Camila Araujo;5.7;29
100077;Gabriel Ferreira;6.6;8
100078;Aline Dias;0.0;6
100079;Rafael Costa;0.4;20
100080;Fernanda Araujo;8.5;0
100081;Gustavo Santos;3.3;3
100082;Maria Rodrigues;8.4;6
100083;Lucas Santos;3.0;16
100084;Thiago Souza;9.7;5
100085;Beatriz Araujo;9.5;23
100086;Aline Rocha;4.5;15
100087;Mariana Martins;9.3;7
100088;Ana Ribeiro;0.2;17
100089;Larissa Teixeira;2.9;12
100090;Rafael Rodrigues;8.9;25
100091;Camila Rodrigues;0.5;22
100092;Camila Rodrigues;4.8;10
100093;Gabriel Dias;2.8;1
100094;Fernanda Souza;1.6;30
100095;Thiago Rocha;4.3;14
100096;Camila Ribeiro;0.9;20
100097;Ana Araujo;0.3;25
100098;Fernanda Gomes;7.8;27
100099;Gustavo Oliveira;1.5;12
